year,month,temp_surf,precip,moisture_upper_soil
2069,2,300.6893920898,535.4192820378,38.9993171692
2069,3,300.8101196289,558.2075184211,40.7430419922
2069,4,301.0609130859,391.0260926932,38.6789970398
2069,5,301.2306518555,365.4054184444,39.1444129944
2069,6,301.2012329102,129.6367628966,32.9558525085
2069,7,301.7163085938,50.1668031793,31.734128952
2069,8,302.2240600586,98.5452183522,32.0426101685
2069,9,302.6211547852,147.4265257129,27.1240844727
2069,10,301.9658203125,268.2594833896,38.9245262146
2069,11,301.5814208984,256.5384584013,39.8902168274
2069,12,301.4505615234,329.6359232627,40.9766845703
2070,1,301.1387329102,447.094512172,38.342666626
2070,2,301.6280517578,199.0882758982,37.7838592529
2070,3,300.8788452148,648.9701522514,38.9288673401
2070,4,301.1425170898,453.8550744765,41.6928787231
2070,5,301.1750488281,342.0526860282,33.1273384094
2070,6,301.4580688477,88.4094763314,28.2627086639
2070,7,301.7616577148,110.0363581209,19.8082408905
2070,8,302.6074829102,103.2625000225,20.8852939606
2070,9,303.4483032227,73.6726116738,21.6653709412
2070,10,303.1838989258,159.9254300818,27.661441803
2070,11,302.9050292969,259.4366397243,37.3748893738
2070,12,301.4232177734,316.3293984253,39.102897644
2071,1,301.7999267578,254.4896991458,37.509727478
2071,2,301.5894775391,455.4457040504,39.284942627
2071,3,302.2200317383,98.2375197345,41.7379989624
2071,4,301.2584228516,410.3714916855,40.7246627808
2071,5,301.099609375,242.2646032646,37.9985160828
2071,6,301.3054199219,90.6150976662,32.7548484802
2071,7,301.3531494141,252.3126967717,26.6375141144
2071,8,301.9667358398,121.9185356749,35.6477737427
2071,9,302.4487915039,135.2676636307,34.337600708
2071,10,302.9149780273,209.8299572244,39.6886978149
2071,11,301.9861450195,179.7125700396,39.0794334412
2071,12,301.4536132813,311.1822665669,39.1785888672
2072,1,301.2980957031,534.3149956316,38.5907211304
2072,2,301.2045288086,458.103693556,36.8964500427
2072,3,301.6976928711,458.7824768387,39.6483192444
2072,4,301.4353637695,397.4643875845,40.0187149048
2072,5,301.5289916992,350.7312373258,38.9775390625
2072,6,301.4373168945,156.0514129233,32.2193832397
2072,7,302.0504760742,11.1571324524,25.0296154022
2072,8,302.2182617188,95.8517922554,31.6649971008
2072,9,303.6786499023,13.7303164811,22.5451488495
2072,10,304.9387207031,67.7222205559,32.7989692688
2072,11,304.1773681641,104.9903685926,43.9181976318
2072,12,301.9254150391,398.6799814738,39.5932388306
2073,1,301.2608032227,594.3793952465,38.6407928467
2073,2,301.7916259766,346.4756025933,39.7699966431
2073,3,301.7067260742,343.2364077307,41.2815475464
2073,4,301.4119262695,295.8866532426,41.4441642761
2073,5,301.3312988281,364.1878254712,39.3796806335
2073,6,301.4459838867,226.7217258923,37.1151924133
2073,7,301.5068969727,152.4211331271,36.9667167664
2073,8,302.2149047852,62.8838245757,36.5109367371
2073,9,302.7965087891,77.0215581288,36.5873718262
2073,10,304.2153320313,56.5289914375,40.7410697937
2073,11,303.4169921875,174.67685882,40.48985672
2073,12,301.626953125,462.4573588371,40.9533004761
2074,1,301.1984863281,620.2395823784,38.8259811401
2074,2,301.3989868164,313.9325156808,39.0047492981
2074,3,301.2716064453,533.9330197312,39.3752174377
2074,4,301.2324829102,564.2834510654,38.5441551208
2074,5,301.1957397461,270.0601299293,39.1896972656
2074,6,301.5430297852,116.1184671801,39.1994972229
2074,7,301.9668579102,97.5643187994,36.3034057617
2074,8,301.9413452148,210.091422312,35.3561477661
2074,9,302.3021850586,103.8486653706,38.4908981323
2074,10,302.2655639648,166.178960586,39.0208435059
2074,11,301.715637207,281.318555586,40.9559364319
2074,12,301.5158691406,270.9259029944,39.6423606873
2075,1,301.7746582031,417.9505091161,37.5812797546
2075,2,301.5717773438,275.2858484164,38.1075172424
